"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"5","6DCD792C","GO302_24_2","Montauk","2","0","03FFAF24","0"
"5","6DCD792C","GO302_24_3","Jamaica","3","1","03FFAF24W","0"
"5","6DCD792C","GO302_24_4","Montauk","4","0","03FFAF24","0"
"5","6DCD792C","GO302_24_5","Penn Station","5","1","077BA7EAW","1"
"5","6DCD792C","GO302_24_7","Long Island City","7","1","E1567DD0W","1"
"5","6DCD792C","GO302_24_8","Montauk","8","0","03FFAF24","0"
"5","6DCD792C","GO302_24_13","Jamaica","13","1","03FFAF24W","0"
"5","0E6D1F49","GO302_24_14","Montauk","14","0","5D287D06","1"
"5","6DCD792C","GO302_24_17","Jamaica","17","1","03FFAF24W","0"
"5","6DCD792C","GO302_24_18","Montauk","18","0","6167D1C4","1"
"5","6DCD792C","GO302_24_21","Jamaica","21","1","03FFAF24W","0"
"5","6DCD792C","GO302_24_22","Montauk","22","0","03FFAF24","1"
"5","6DCD792C","GO302_24_26","Montauk","26","0","03FFAF24","0"
"5","6DCD792C","GO302_24_31","Babylon","31","1","C47E4DA6W","1"
"5","0C91375B","GO302_24_32","Speonk","32","0","C47E4DA6","0"
"5","6DCD792C","GO302_24_35","Long Island City","35","1","FAB78717W","1"
"5","6DCD792C","GO302_24_36","Speonk","36","0","C47E4DA6","0"
"5","6DCD792C","GO302_24_37","Long Island City","37","1","FAB78717W","1"
"5","6DCD792C","GO302_24_38","Speonk","38","0","C47E4DA6","0"
"5","6DCD792C","GO302_24_39","Penn Station","39","1","4687B150W","1"
"5","6DCD792C","GO302_24_40","Speonk","40","0","C47E4DA6","1"
"5","6DCD792C","GO302_24_41","Babylon","41","1","C47E4DA6W","1"
"5","6DCD792C","GO302_24_42","Speonk","42","0","4687B150","1"
"5","6DCD792C","GO302_24_43","Babylon","43","1","C47E4DA6W","0"
"5","6DCD792C","GO302_24_44","Speonk","44","0","4687B150","1"
"5","6DCD792C","GO302_24_45","Jamaica","45","1","2C29C908W","0"
"5","6DCD792C","GO302_24_46","Speonk","46","0","C47E4DA6","1"
"5","6DCD792C","GO302_24_47","Jamaica","47","1","2C29C908W","0"
"5","6DCD792C","GO302_24_48","Speonk","48","0","2C29C908","0"
"5","6DCD792C","GO302_24_49","Jamaica","49","1","2C29C908W","0"
"5","6DCD792C","GO302_24_56","Patchogue","56","0","7A51E605","0"
"5","6DCD792C","GO302_24_57","Babylon","57","1","7A51E605W","1"
"5","6DCD792C","GO302_24_58","Patchogue","58","0","7A51E605","0"
"5","6DCD792C","GO302_24_59","Babylon","59","1","7A51E605W","0"
"5","6DCD792C","GO302_24_60","Patchogue","60","0","7A51E605","0"
"5","6DCD792C","GO302_24_61","Babylon","61","1","7A51E605W","0"
"5","6DCD792C","GO302_24_62","Patchogue","62","0","4FA72919","0"
"5","6DCD792C","GO302_24_63","Babylon","63","1","7A51E605W","0"
"5","6DCD792C","GO302_24_64","Patchogue","64","0","7A51E605","0"
"5","6DCD792C","GO302_24_67","Babylon","67","1","7A51E605W","0"
"5","6DCD792C","GO302_24_68","Patchogue","68","0","7A51E605","0"
"5","6DCD792C","GO302_24_69","Babylon","69","1","7A51E605W","0"
"5","6DCD792C","GO302_24_71","Babylon","71","1","7A51E605W","0"
"5","6DCD792C","GO302_24_73","Babylon","73","1","7A51E605W","0"
"5","6DCD792C","GO302_24_74","Patchogue","74","0","7A51E605","0"
"5","6DCD792C","GO302_24_75","Babylon","75","1","7A51E605W","0"
"5","6DCD792C","GO302_24_76","Patchogue","76","0","CE41583F","0"
"5","6DCD792C","GO302_24_77","Babylon","77","1","7A51E605W","0"
"5","6DCD792C","GO302_24_78","Patchogue","78","0","7A51E605","0"
