"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"5","F09403F5","EMDE_201_2","Montauk","2","0","03FFAF24","0"
"5","F09403F5","EMDE_201_3","Jamaica","3","1","03FFAF24W","0"
"5","F09403F5","EMDE_201_4","Montauk","4","0","03FFAF24","0"
"5","F09403F5","EMDE_201_5","Penn Station","5","1","077BA7EAW","1"
"5","F09403F5","EMDE_201_7","Long Island City","7","1","E1567DD0W","1"
"5","48921D01","EMDE_201_8","Montauk","8","0","03FFAF24","0"
"5","932F2766","EMDE_201_10","Montauk","10","0","03FFAF24","0"
"5","A8A81C7A","EMDE_201_11","Hunterspoint Avenue","11","1","6167D1C4W","0"
"5","932F2766","EMDE_201_12","Montauk","12","0","6167D1C4","0"
"5","48921D01","EMDE_201_13","Jamaica","13","1","03FFAF24W","0"
"5","38DF295E","EMDE_201_14","Montauk","14","0","5D287D06","1"
"5","932F2766","EMDE_201_15","Jamaica","15","1","03FFAF24W","0"
"5","932F2766","EMDE_201_16","Montauk","16","0","5D287D06","1"
"5","F09403F5","EMDE_201_17","Jamaica","17","1","03FFAF24W","0"
"5","48921D01","EMDE_201_18","Montauk","18","0","6167D1C4","1"
"5","932F2766","EMDE_201_18_1","Montauk","18","0","6167D1C4","1"
"5","E5D079F1","EMDE_201_20","Montauk","20","0","5D287D06","1"
"5","F09403F5","EMDE_201_21","Jamaica","21","1","03FFAF24W","0"
"5","F09403F5","EMDE_201_22","Montauk","22","0","03FFAF24","1"
"5","932F2766","EMDE_201_24","Montauk","24","0","03FFAF24","1"
"5","F09403F5","EMDE_201_26","Montauk","26","0","03FFAF24","0"
"5","F09403F5","EMDE_201_31","Babylon","31","1","C47E4DA6W","1"
"5","55F3EA2E","EMDE_201_32","Speonk","32","0","C47E4DA6","0"
"5","F09403F5","EMDE_201_35","Long Island City","35","1","FAB78717W","1"
"5","F09403F5","EMDE_201_36","Speonk","36","0","C47E4DA6","0"
"5","F09403F5","EMDE_201_37","Long Island City","37","1","FAB78717W","1"
"5","F09403F5","EMDE_201_38","Speonk","38","0","C47E4DA6","0"
"5","F09403F5","EMDE_201_39","Penn Station","39","1","4687B150W","1"
"5","F09403F5","EMDE_201_40","Speonk","40","0","C47E4DA6","1"
"5","F09403F5","EMDE_201_41","Babylon","41","1","C47E4DA6W","1"
"5","0AD80D36","EMDE_201_42","Speonk","42","0","4687B150","1"
"5","48921D01","EMDE_201_43","Babylon","43","1","C47E4DA6W","0"
"5","F09403F5","EMDE_201_44","Speonk","44","0","4687B150","1"
"5","F09403F5","EMDE_201_45","Jamaica","45","1","2C29C908W","0"
"5","F09403F5","EMDE_201_46","Speonk","46","0","C47E4DA6","1"
"5","F09403F5","EMDE_201_47","Jamaica","47","1","2C29C908W","0"
"5","F09403F5","EMDE_201_48","Speonk","48","0","2C29C908","0"
"5","F09403F5","EMDE_201_49","Jamaica","49","1","2C29C908W","0"
"5","F09403F5","EMDE_201_56","Patchogue","56","0","7A51E605","0"
"5","F09403F5","EMDE_201_57","Babylon","57","1","7A51E605W","1"
"5","F09403F5","EMDE_201_58","Patchogue","58","0","7A51E605","0"
"5","F09403F5","EMDE_201_59","Babylon","59","1","7A51E605W","0"
"5","F09403F5","EMDE_201_60","Patchogue","60","0","7A51E605","0"
"5","F09403F5","EMDE_201_61","Babylon","61","1","7A51E605W","0"
"5","F09403F5","EMDE_201_62","Patchogue","62","0","4FA72919","0"
"5","F09403F5","EMDE_201_63","Babylon","63","1","7A51E605W","0"
"5","F09403F5","EMDE_201_64","Patchogue","64","0","7A51E605","0"
"5","932F2766","EMDE_201_66","Patchogue","66","0","7A51E605","0"
"5","F09403F5","EMDE_201_67","Babylon","67","1","7A51E605W","0"
"5","F09403F5","EMDE_201_68","Patchogue","68","0","7A51E605","0"
"5","F09403F5","EMDE_201_69","Babylon","69","1","7A51E605W","0"
"5","48921D01","EMDE_201_71","Babylon","71","1","7A51E605W","0"
"5","F09403F5","EMDE_201_73","Babylon","73","1","7A51E605W","0"
"5","F09403F5","EMDE_201_74","Patchogue","74","0","7A51E605","0"
"5","F09403F5","EMDE_201_75","Babylon","75","1","7A51E605W","0"
"5","F09403F5","EMDE_201_76","Patchogue","76","0","CE41583F","0"
"5","F09403F5","EMDE_201_77","Babylon","77","1","7A51E605W","0"
"5","F09403F5","EMDE_201_78","Patchogue","78","0","7A51E605","0"
"5","F09403F5","EMDE_201_79","Jamaica","79","1","4FA72919W","0"
